time_s,pos_x_m,pos_y_m,pos_z_m,vel_vx_m/s,vel_vy_m/s,vel_vz_m/s,att_roll_rad,att_pitch_rad,att_yaw_rad,ang_vel_p_rad/s,ang_vel_q_rad/s,ang_vel_r_rad/s,control_Fx_N,control_Fy_N,control_Fz_N,control_tau_x_Nm,control_tau_y_Nm,control_tau_z_Nm,solve_time_s,solve_success
1.9849774837493896,0.29550508359724775,1.0451830983809902,0.1490804086002049,0.001635225416113384,-0.007875844240223806,-0.0027883360190106288,0.0648878032617346,-0.00997805582567901,-0.03754672421654304,-0.004395620431751013,-0.0019496240420266986,-0.00011985121818724995,0.09754621358755475,0.7820385477243582,25.956861023536746,-0.16932833211837559,0.025903036189801647,-0.00024162169588614149,0.0010893840001244826,1
0.007792234420776367,0.2955073904712623,1.045170461869976,0.14911114570563574,-0.005946716931587437,-0.0008959157586252431,0.002057083974088547,0.0646738524143351,-0.00992319129597874,-0.03756134435370395,0.013003116473555565,-0.0025974721647799015,-0.00019948621047660676,0.12827272225369118,0.7143631115420651,25.947515907140744,-0.16566600485156338,0.027266639526060028,-0.00034356958366247263,0.003884083000002647,1
0.017751216888427734,0.2955073904712623,1.045170461869976,0.14911114570563574,-0.005946716931587437,-0.0008959157586252431,0.002057083974088547,0.0646738524143351,-0.00992319129597874,-0.03756134435370395,0.013003116473555565,-0.0025974721647799015,-0.00019948621047660676,0.15990668669376013,0.7375704158643327,25.93044557849667,-0.1741400716905602,0.02829606596015345,-0.00021521356100568355,0.0010641010001108953,1
0.027801513671875,0.29552031922034483,1.0451894625334917,0.14910863426159865,0.0026458867557033194,0.0020956295476048936,0.0038467978162842753,0.0649686547946624,-0.0100045293143598,-0.03761204067551205,0.013003116473555565,-0.0025974721647799015,-0.00019948621047660676,0.16448396990005945,0.7449974560051709,25.92688806778699,-0.17472030740878505,0.02750577744815389,-8.796099665961204e-05,0.0037998539999080094,1
0.037767887115478516,0.2955340999642035,1.0451548135867839,0.14911903681257366,0.0026458867557033194,0.0020956295476048936,0.0038467978162842753,0.06503070615885065,-0.00993371961010503,-0.03770700926319526,0.0016225436702370644,-0.002267042174935341,0.0014877481153234842,0.10517268222486807,0.7204632090731276,25.917147071742615,-0.1739843188857324,0.02574212395092232,-6.865396984210869e-05,0.0017733399999997346,1
0.04780459403991699,0.2955210785773217,1.045128588254465,0.14909397011409706,0.0013780743858660127,-0.0034648946707793726,0.0010402550975008307,0.0650096643590472,-0.010118440935761086,-0.037680499934650946,0.0016225436702370644,-0.002267042174935341,0.0014877481153234842,0.09074304526824539,0.7105308248257645,25.914843405991366,-0.16990745668552973,0.025897212487230988,-0.0007532931253507333,0.0036288129999775265,1
0.05775904655456543,0.2955210785773217,1.045128588254465,0.14909397011409706,0.0013780743858660127,-0.0034648946707793726,0.0010402550975008307,0.0650096643590472,-0.010118440935761086,-0.037680499934650946,0.0016225436702370644,-0.002267042174935341,0.0014877481153234842,0.09765960734938728,0.7528864200960516,25.928343042490862,-0.1718595558671471,0.02672263442706395,-0.0008362882316542917,0.0010166099998514255,1
0.06778907775878906,0.295524359671389,1.045210391892067,0.1490848983748181,0.0016118309190904512,0.0017751426141687787,0.002321146224920634,0.06506052267739015,-0.00994728681344359,-0.0377206623889248,0.0016225436702370644,-0.002267042174935341,0.0014877481153234842,0.0969224218135923,0.7210349507439051,25.925592280087734,-0.1706433037385799,0.02650429698040156,-0.0008119560315894066,0.001999834999878658,1
0.07774472236633301,0.295524359671389,1.045210391892067,0.1490848983748181,0.0016118309190904512,0.0017751426141687787,0.002321146224920634,0.06506052267739015,-0.00994728681344359,-0.0377206623889248,0.0016225436702370644,-0.002267042174935341,0.0014877481153234842,0.0969723663637264,0.7136738696621105,25.92515267318689,-0.17071289629216965,0.02640092659061668,-0.0007969755819455629,0.0012637079998967238,1
0.08774781227111816,0.2955398727629144,1.0450989033960352,0.14914448122989143,0.0015513091525365397,-0.011148849603181965,0.005958285507334793,0.06519991005170978,-0.009904642581552103,-0.037873845145201646,0.006187752820551395,-0.0009887833148241043,0.00011841315426863742,0.09181599248766718,0.809709854045817,25.90198360271819,-0.176956643881023,0.025689156417743476,5.836497342231149e-06,0.0010920380000243313,1
