time_s,pos_x_m,pos_y_m,pos_z_m,vel_vx_m/s,vel_vy_m/s,vel_vz_m/s,att_roll_rad,att_pitch_rad,att_yaw_rad,ang_vel_p_rad/s,ang_vel_q_rad/s,ang_vel_r_rad/s,control_Fx_N,control_Fy_N,control_Fz_N,control_tau_x_Nm,control_tau_y_Nm,control_tau_z_Nm,solve_time_s,solve_success
0.002845287322998047,0.2960717631080204,1.0599138124467653,0.15041097713447593,0.011766727978745894,0.0044139951428601165,0.0001660521799895509,0.010925678585453458,-0.017483610396686444,-0.02097160963281075,0.005275433883070946,-0.0011792305158451202,-0.001953159924596548,0.12933478075381477,0.085098385182584,25.951801606873996,-0.02388173207944331,0.0331707056167584,0.0007234556809884163,0.0017851430000064283,1
0.012840747833251953,0.29606464538766303,1.0598737249122936,0.15045903459833215,-0.015297181438744811,-0.0006562395501230611,-0.009132264442521243,0.010931139603390427,-0.01761989632876082,-0.02094977713284063,0.005275433883070946,-0.0011792305158451202,-0.001953159924596548,0.30865558708842833,0.12370537528036743,25.99696879342462,-0.02586398784496668,0.04233265478988314,0.0006872509611043343,0.0019241969999939101,1
0.0228879451751709,0.29611620479955086,1.0598466552982766,0.150553751783517,-0.0007117720357385782,-0.0040087534471711095,0.004805746385622145,0.010160488304106874,-0.017191051509974464,-0.02079685756987315,0.024981915950775146,-0.002808136865496636,-0.0034745063167065378,0.23193651213879546,0.1559204535212291,25.93183327016804,-0.032937758413618845,0.03659609347314173,0.0012261896119184238,0.0012400319999414933,1
0.03285980224609375,0.2963010444146549,1.0597301028703179,0.15069024541771325,0.0006044987562237036,-0.0018584682533573371,-0.002313649372245874,0.011349874535398374,-0.018305230884810175,-0.02099321296779033,0.024981915950775146,-0.002808136865496636,-0.0034745063167065378,0.18327379110963132,0.168459669991098,25.891611994010862,-0.03584961074945563,0.03864955625424995,0.0016917589186789578,0.004023067000048286,1
0.042791128158569336,0.2963010444146549,1.0597301028703179,0.15069024541771325,0.0006044987562237036,-0.0018584682533573371,-0.002313649372245874,0.011349874535398374,-0.018305230884810175,-0.02099321296779033,0.024981915950775146,-0.002808136865496636,-0.0034745063167065378,0.2031002849826962,0.16374169718754106,25.945550924685516,-0.0345104010606224,0.03934141734371237,0.0014860995493310523,0.0015156250000245564,1
0.052820444107055664,0.2962567332877289,1.0597986926429874,0.15058725717195257,0.006488639112101069,-0.004428888111029927,0.009251802044291102,0.012595598625634086,-0.018959433185687935,-0.020972770601344504,0.0275192242115736,-0.0020517967641353607,0.0015656440518796446,0.16634685204961164,0.19000021958647348,25.896151808193284,-0.03877052182558779,0.038440949805960745,-0.0007773363259038764,0.0019289470000103393,1
0.06282639503479004,0.2962567332877289,1.0597986926429874,0.15058725717195257,0.006488639112101069,-0.004428888111029927,0.009251802044291102,0.012595598625634086,-0.018959433185687935,-0.020972770601344504,0.0275192242115736,-0.0020517967641353607,0.0015656440518796446,0.15821491455584744,0.19596714392921827,25.88497536104208,-0.03866031863027709,0.03874098431675371,-0.000935155774399135,0.0009473269999489276,1
0.07285332679748535,0.29608035247771214,1.059650025201079,0.1504279304441701,-0.015929963528704683,-0.00827096430815466,-0.0272641417217806,0.012208252012594123,-0.017796632060866013,-0.02124331869414986,0.0275192242115736,-0.0020517967641353607,0.0015656440518796446,0.23874082367948657,0.11615084305648199,25.990176709658645,-0.034489186280371335,0.040383244613294074,-0.0007320195979194839,0.003247688999977072,1
0.0828404426574707,0.29608035247771214,1.059650025201079,0.1504279304441701,-0.015929963528704683,-0.00827096430815466,-0.0272641417217806,0.012208252012594123,-0.017796632060866013,-0.02124331869414986,0.0275192242115736,-0.0020517967641353607,0.0015656440518796446,0.3429185703687694,0.2171387399425182,26.10359707178657,-0.03995917908376702,0.04292837155193354,-0.000600946655563495,0.0009369910000032178,1
0.09282732009887695,0.2961902737808605,1.0595855502550975,0.15044680358119433,-0.001708117472970505,-0.0065957798826898895,0.01133146894353454,0.011636253047466738,-0.017233316774849516,-0.02126768946515245,0.016287529841065407,0.002347450703382492,-0.00039043641299940673,0.2408197949194913,0.20839228378332986,25.92121976798476,-0.03298615271319657,0.03507559339276624,0.00030917555956143556,0.0009520760000896189,1
0.10286355018615723,0.2963114268957818,1.0595920077917633,0.15058658614211826,0.007590220581865648,0.009894444857705409,0.006084663629349341,0.01219640507664188,-0.0184358289928106,-0.020948154937015406,0.016287529841065407,0.002347450703382492,-0.00039043641299940673,0.14211857848199327,0.2183094933245927,25.931298237830898,-0.036030276716864436,0.03563480081351636,0.00023773144672233673,0.003416564999952243,1
0.11292839050292969,0.2963114268957818,1.0595920077917633,0.15058658614211826,0.007590220581865648,0.009894444857705409,0.006084663629349341,0.01219640507664188,-0.0184358289928106,-0.020948154937015406,0.016287529841065407,0.002347450703382492,-0.00039043641299940673,0.13941766970136968,0.09057220095404919,25.910756308966125,-0.029053237244603597,0.036143404292561535,-5.4663405585625294e-05,0.0009466289999409128,1
